subject,course_num,days,start,end,building,room_number
AAS,100,MW     ,1400,1520,Noyes Laboratory,304
AAS,100,F      ,900,950,"Literatures, Cultures, & Ling",1030
AAS,100,F      ,1000,1050,"Literatures, Cultures, & Ling",1030
AAS,100,F      ,1100,1150,"Literatures, Cultures, & Ling",1030
AAS,100,F      ,1200,1250,"Literatures, Cultures, & Ling",1030
AAS,100,F      ,1300,1350,"Literatures, Cultures, & Ling",1030
AAS,100,F      ,1400,1450,"Literatures, Cultures, & Ling",1030
AAS,100,F      ,1000,1050,Lincoln Hall,1057
AAS,100,F      ,1100,1150,Lincoln Hall,1057
AAS,100,F      ,1300,1350,Davenport Hall,113
AAS,100,F      ,1400,1450,Davenport Hall,113
AAS,100,MW     ,1000,1050,Natural History Building,2079
AAS,200,TR     ,1230,1350,Armory,148
AAS,201,none,0,0,none,none
AAS,201,none,0,0,none,none
AAS,211,TR     ,1530,1650,"Literatures, Cultures, & Ling",G18
AAS,215,TR     ,1100,1220,Psychology Building,207
AAS,275,TR     ,1400,1520,English Building,160
AAS,281,TR     ,1400,1520,David Kinley Hall,310
AAS,283,MW     ,1100,1220,Gregory Hall,311
AAS,286,MWF    ,1000,1140,Campus Instructional Facility,3018
AAS,287,TR     ,1400,1520,Henry Administration Bldg,137
AAS,288,MW     ,1500,1620,Davenport Hall,336
AAS,297,MW     ,1715,1830,Bevier Hall,132
AAS,299,MW     ,1100,1220,Education Building,162
AAS,300,TR     ,1400,1520,Mumford Hall,316N
AAS,310,R      ,1400,1550,Education Building,17
AAS,310,R      ,1400,1550,Education Building,42A
AAS,310,R      ,1400,1550,Education Building,22
AAS,310,R      ,1400,1550,Armory,241
AAS,310,R      ,1400,1550,David Kinley Hall,111
AAS,310,T      ,1400,1550,Education Building,2
AAS,315,M      ,1400,1650,Henry Administration Bldg,140
AAS,355,TR     ,1400,1520,1207 W Oregon,103
AAS,357,TR     ,1100,1220,1207 W Oregon,103
AAS,370,TR     ,1100,1220,Wohlers Hall,170
AAS,495,WF     ,1400,1650,Siebel Center for Design,1002
